"QID","QTYPE","ANSWER"
"D010Q06","基礎題","北部非洲與中東;北部非洲及中東地區"
"D011Q01","基礎題","118km/hr"
"D011Q02","基礎題","颶風"
"D011Q03","基礎題","颱風"
"D011Q04","基礎題","氣旋風暴"
"D011Q05","進階題","颶風"
"D011Q06","基礎題","颱風"
"D011Q07","基礎題","颱風"
"D011Q08","基礎題","颱風"
"D013Q01","進階題","南部;南"
"D013Q03","基礎題","2952平方公里"
"D013Q04","基礎題","2952平方公里"
"D013Q05","基礎題","2952平方公里"
"D013Q06","進階題","高雄市;高雄"
"D013Q07","基礎題","打狗"
"D013Q08","基礎題","打狗"
"D013Q10","進階題","高雄港"
"D013Q11","基礎題","GaWC"
"D013Q12","進階題","臺北"
"D014Q01","基礎題","高屏溪"
"D014Q02","基礎題","高屏溪"
"D014Q04","進階題","12條"
"D014Q05","進階題","荖濃溪、旗山溪、濁口溪、寶來溪、拉克斯溪、拉庫音溪等、美濃溪、前鎮河、愛河、後勁溪、阿公店溪及典寶溪"
"D014Q06","進階題","不好"
"D014Q07","基礎題","左營區"
"D014Q08","進階題","左營區及楠梓區"
"D014Q09","基礎題","高雄市;高雄"
"D015Q01","進階題","高雄85大樓、夢時代購物中心的高雄之眼摩天輪及高雄巨蛋;高雄85大樓、高雄之眼摩天輪及高雄巨蛋"
"D015Q02","進階題","鳳山龍山寺、鳳山縣舊城、台灣煉瓦會社打狗工場、美濃竹仔門電廠、原日本海軍鳳山無線電信所、打狗英國領事館官邸及旗後砲台"
"D015Q03","基礎題","新堀江"
"D015Q05","基礎題","4個"
"D015Q06","基礎題","44座"
"D016Q01","進階題","梅山與寶來"
"D016Q02","進階題","荖濃溪與秀姑巒溪"
"D016Q03","基礎題","月世界"
"D016Q04","進階題","田寮與燕巢"
"D016Q05","基礎題","澄清湖"
"D031Q02","基礎題","美國-墨西哥-加拿大協定"
"D031Q03","進階題","美國、墨西哥及加拿大"
"D031Q04","進階題","鋼與鋁"
"D032Q01","進階題","USMCA"
"D032Q02","進階題","United States-Mexico-Canada Agreement"
"D032Q03","進階題","美國－墨西哥－加拿大協定"
"D032Q04","基礎題","美國、墨西哥及加拿大"
"D032Q05","基礎題","1992年8月12日"
"D032Q06","基礎題","1994年1月1日"
"D032Q07","進階題","506日;507日"
"D032Q08","基礎題","2018年9月30日"
"D032Q09","進階題","同年11月;2019年11月"
"D032Q10","進階題","資訊不足無法判定"
"D033Q01","進階題","United States-Mexico-Canada Agreement"
"D033Q03","進階題","Accord Canada–États-Unis–Mexique"
"D033Q05","進階題","Tratado entre México, Estados Unidos y Canadá"
"D033Q06","進階題","T-MEC"
"D033Q07","基礎題","美國－墨西哥－加拿大協議"
"D033Q08","基礎題","美墨加協議"
"D033Q09","基礎題","加拿大、墨西哥和美國"
"D033Q10","基礎題","加拿大、墨西哥和美國;美國總統唐納·川普、墨西哥總統培尼亞·涅托和加拿大總理賈斯汀·杜魯多"
"D033Q11","基礎題","2018年11月30日"
"D033Q12","基礎題","布宜諾斯艾利斯"
"D033Q13","基礎題","唐納·川普"
"D033Q14","基礎題","培尼亞·涅托"
"D033Q15","基礎題","賈斯汀·杜魯多"
"D035Q01","基礎題","2019年9月9日;2019/9/9"
"D035Q02","基礎題","10月7日;2019年10月7日"
"D035Q03","基礎題","2000萬元"
"D035Q04","基礎題","雅婷Yating"
"D035Q05","基礎題","台灣人工智慧實驗室"
"D035Q08","進階題","2020年4月"
"D035Q09","進階題","108年12月 "
"D035Q10","進階題","108年4月"
"D036Q01","基礎題","伯父;伯伯;大爺;子爺"
"D036Q02","基礎題","伯父;伯伯;大爺;子爺"
"D036Q03","基礎題","叔;叔父;叔叔;嗒嗒"
"D036Q04","基礎題","叔;叔父;叔叔;嗒嗒"
"D036Q05","基礎題","姑;姑母;姑姑;姑媽;姑姐"
"D036Q06","基礎題","姑;姑母;姑姑;姑媽;姑姐"
"D036Q07","基礎題","舅;舅父;舅舅"
"D036Q08","基礎題","舅;舅父;舅舅"
"D036Q09","基礎題","舅;舅父;舅舅"
"D036Q10","基礎題","舅;舅父;舅舅"
"D036Q11","基礎題","姨;姨母;姨媽;阿姨;姨娘;大姨"
"D036Q12","基礎題","姨;姨母;姨媽;阿姨;姨娘;大姨"
"D036Q13","基礎題","姆;伯母;大娘;子娘;伯娘"
"D036Q14","基礎題","姆;伯母;大娘;子娘;伯娘"
"D036Q16","基礎題","姑丈;姑父"
"D036Q17","基礎題","姑丈;姑父"
"D036Q19","基礎題","姨丈;姨父"
"D036Q20","基礎題","姨丈;姨父"
"D037Q01","進階題","堂兄弟"
"D037Q02","進階題","表兄弟"
"D037Q03","進階題","堂姊妹"
"D037Q04","進階題","表姊妹"
"D037Q06","進階題","兄弟姊妹、叔父、伯父、舅父、姑母、姨母、侄子、侄女、外甥、外甥女"
"D037Q07","進階題","堂兄弟"
"D037Q08","進階題","表兄弟"
"D037Q09","進階題","表兄弟"
"D037Q10","進階題","表兄弟"
"D037Q11","進階題"," 父系血親的長輩（伯、姆、叔、嬸）;父系血親的長輩;伯、姆、叔、嬸"
"D037Q12","進階題","父系血親的長輩（姑）和母系血親的長輩（舅、妗、姨）;父系血親的長輩和母系血親的長輩;姑、舅、妗、姨"
"D037Q13","進階題","伯;叔;伯父;叔父"
"D037Q14","進階題","伯;叔;伯父;叔父"
"D037Q15","進階題","舅;舅父"
"D037Q16","進階題","舅;舅父"
"D037Q17","進階題","是"
"D037Q18","進階題","是"
"D037Q19","進階題","否"
"D037Q20","進階題","否"
"D038Q01","基礎題","艾倫·麥席森·圖靈; Alan Mathison Turing;阿蘭·圖靈; Turing;涂林;杜林"
"D038Q02","基礎題","政府密碼學校; GC&CS;通信總部;政府通信總部"
"D038Q03","基礎題","布萊切利園"
"D038Q05","進階題","德國"
"D038Q06","基礎題","英國"
"D038Q07","基礎題","1912年"
"D038Q08","基礎題","1954年"
"D038Q09","進階題","42歲"
"D038Q10","基礎題","曼徹斯特一號"
"D038Q11","基礎題","曼徹斯特大學計算機實驗室;曼徹斯特大學"
"D039Q01","基礎題","丈夫、先生、外子、相公、官人、夫婿、夫君與老公"
"D039Q02","基礎題","妻子、太太、老婆、內子、內人、娘子與夫人"
"D039Q04","基礎題","婆婆、家姑、家婆、媽媽、大家與奶奶"
"D039Q05","基礎題","岳父、丈人、丈母達、爸爸與外父"
"D039Q06","基礎題","兒媳、兒媳婦、媳婦與新婦"
"D039Q07","基礎題","女婿"
"D039Q08","基礎題","妻子;太太;老婆;內子;內人;娘子;夫人"
"D039Q10","基礎題","丈夫"
"D039Q11","基礎題","丈夫"
"D040Q01","基礎題","嫂;嫂嫂;嫂子"
"D040Q02","基礎題","弟媳;弟妹;弟婦"
"D040Q03","基礎題","姐夫"
"D040Q04","基礎題","妹夫;妹婿"
"D040Q05","基礎題","大伯子;大伯"
"D040Q06","基礎題","小叔子;小叔"
"D040Q07","基礎題","大姑子;姑奶"
"D040Q08","基礎題","小姑子;小姑;姑妹"
"D040Q09","基礎題","大舅子;大舅;內兄"
"D040Q10","基礎題","小舅子;小舅;內弟"
"D040Q11","基礎題","大姨子;大姨;姨姐"
"D040Q12","基礎題","小姨子;小姨;姨妹"
"D040Q13","進階題","妯娌;小嬸仔;大妯娌;阿嫂;大嫂"
"D042Q02","基礎題","新合興牧場"
"D042Q03","基礎題","豬"
"D042Q05","基礎題","祥圃實業公司"
"D042Q06","基礎題","吳昆民"
"D042Q08","基礎題","二階段高效厭氧發酵技術"
"D042Q09","進階題","祥圃實業、亞洲氫能公司、逢甲大學與瑞助營造公司"
"D042Q10","進階題","2018年"
"D042Q14","基礎題","台電公司"
"D042Q15","基礎題","新台幣95萬元到100萬元;95萬元到100萬元"
"D045Q01","基礎題","騰訊"
"D045Q03","基礎題","微軟公司;微軟"
"D045Q04","基礎題","騰訊"
"D045Q05","基礎題","移民美國"
"D046Q02","基礎題","環保署與國衛院國家環境醫學研究所"
"D046Q03","基礎題","空氣盒子"
"D046Q04","基礎題","捷運"
"D046Q05","基礎題","騎乘機車通勤;騎乘機車;機車;機車通勤"
"D046Q06","進階題","機車、公車及捷運"
"D046Q08","基礎題","月台"
"D048Q01","進階題","4個"
"D048Q02","基礎題","Eliza"
"D048Q03","基礎題","麻省理工學院（MIT）人工智慧實驗室;麻省理工學院;MIT;麻省理工學院人工智慧實驗室;MIT人工智慧實驗室"
"D048Q04","基礎題","1966年"
"D048Q07","進階題","Eliza、Google助理及小冰"
"D048Q08","基礎題","微軟"
"D048Q09","申論",""
"D049Q01","基礎題","台灣人工智慧實驗室（AILabs）;台灣人工智慧實驗室"
"D049Q03","進階題","3種;三種"
"D049Q04","申論",""
"D049Q05","基礎題","台灣"
"D049Q06","基礎題","杜奕瑾"
"D049Q08","基礎題","薛雅婷"
"D049Q09","進階題","是"
"D052Q01","基礎題","曾祖父;太爺"
"D052Q02","基礎題","曾祖母;太奶"
"D052Q03","基礎題","外曾祖父;太公"
"D052Q04","基礎題","外曾祖母;太婆"
"D052Q05","基礎題","祖父;爺爺;阿公"
"D052Q06","基礎題","祖母;奶奶;阿嬤"
"D052Q07","基礎題","父親"
"D052Q08","基礎題","父親"
"D052Q09","基礎題","母親"
"D052Q10","基礎題","母親"
"D061Q01","基礎題","75歲"
"D061Q02","基礎題","3年"
"D061Q03","基礎題","臺北市區監理所;行政區的臨時櫃檯"
"D061Q04","基礎題","93歲"
"D061Q05","基礎題","395件"
"D062Q01","基礎題","東帝士集團"
"D062Q02","基礎題","七百億;七百億台幣;台幣七百億"
"D062Q05","基礎題","4億多元"
"D064Q01","基礎題","郭金火"
"D064Q03","基礎題","16歲"
"D064Q04","基礎題","蔡雪溪"
"D064Q05","基礎題","1908年4月10日"
"D064Q06","基礎題","台北市大稻埕;台北市;大稻埕"
"D064Q07","基礎題","林阿琴"
"D064Q08","進階題","泰國、菲律賓、印度、中國大陸、美國與日本"
"D064Q09","基礎題","四個;四位"
"D064Q10","基礎題","陳英聲"
"D064Q11","基礎題","畫家"
"D064Q12","基礎題","蔡雪溪"
"D064Q13","基礎題","2012年1月23日"
"D064Q14","基礎題","103歲;104歲"
"D064Q15","基礎題","103歲;104歲"
"D064Q16","進階題","2007年"
"D068Q01","基礎題","10月10日;2019年10月10日"
"D068Q02","進階題","10月13日;2019年10月13日"
"D068Q03","基礎題","苗栗縣"
"D068Q04","基礎題","魯班祭及7位大師冰雕秀;魯班祭及冰雕秀"
"D068Q05","基礎題","木雕博館廣場及水美商圈"
"D069Q01","基礎題","臺灣屏東潮州;臺灣;臺灣屏東;屏東潮州;屏東;潮州"
"D069Q02","基礎題","導演"
"D069Q03","基礎題","美國;伊利諾大學;伊利諾大學香檳分校"
"D069Q04","基礎題","1980年"
"D069Q06","進階題","3年"
"D069Q07","進階題","2年"
"D069Q08","基礎題","分界線;《分界線》"
"D069Q09","基礎題","紐約大學"
"D069Q10","進階題","伊利諾大學香檳分校與紐約大學;伊利諾大學與紐約大學\n"
"D069Q11","進階題","是"
"D069Q12","進階題","推手"
"D069Q13","進階題","7部"
"D070Q01","基礎題","Robert Swinhoe"
"D070Q02","進階題","羅伯特·郇和、史溫侯及斯文侯"
"D070Q03","基礎題","英屬印度加爾各答;印度加爾各答;加爾各答"
"D070Q04","進階題","打狗;高雄;打狗（今高雄）"
"D070Q05","基礎題","鳥;鳥類"
"D070Q07","進階題","1854年"
"D070Q08","進階題","41歲"
"D070Q09","基礎題","英國皇家鳥類學會"
"D070Q10","基礎題","Ibis雜誌;Ibis"
"D070Q11","基礎題","郇和;羅伯特·郇和;史溫侯;斯文侯;斯文豪"
"D071Q01","基礎題","四川內江;四川"
"D071Q03","基礎題","83歲"
"D071Q04","基礎題","黃君璧、溥心畬與張大千"
"D071Q05","基礎題","齊白石、徐悲鴻、黃君璧、黃賓虹、溥心畬、郎靜山與畢卡索"
"D071Q06","進階題","法國、英國、瑞士、印度、比利時、希臘、西班牙、新加坡、泰國、德國、巴西與美國"
"D071Q07","進階題","巴黎、倫敦、日內瓦、新德里與香港"
"D071Q08","基礎題","法國巴黎、英國倫敦、瑞士日內瓦、印度新德里、比利時、希臘、西班牙、新加坡、泰國、德國、巴西、美國與香港;法國、英國、瑞士、印度、比利時、希臘、西班牙、新加坡、泰國、德國、巴西與美國;巴黎、倫敦、日內瓦、新德里與香港"
"D071Q09","進階題","潑墨與潑彩"
"D071Q10","基礎題","1949年"
"D071Q12","進階題","1983年"
"D071Q13","基礎題","台北"
"D071Q14","進階題","27年"
"D071Q15","進階題","秋海棠;《秋海棠》"
"D071Q16","基礎題","廬山圖;《廬山圖》"
"D072Q01","基礎題","威廉·莎士比亞"
"D072Q02","基礎題","William Shakespeare"
"D072Q03","基礎題","1564年4月23日"
"D072Q04","基礎題","英格蘭沃里克郡雅芳河畔斯特拉特福;英格蘭;沃里克郡;雅芳河畔斯特拉特福"
"D072Q05","基礎題","安·哈瑟維"
"D072Q06","基礎題","雅芳河畔斯特拉特福"
"D072Q08","進階題","《羅密歐與朱麗葉》與《馬克白》"
"D072Q09","進階題","《辛白林》、《冬天的故事》、《暴風雨》與《泰爾親王佩力克爾斯》"
"D073Q01","基礎題","Rhincodon typus"
"D073Q02","基礎題","鯨鮫、豆腐鯊與大憨鯊"
"D073Q03","基礎題","12.65公尺"
"D073Q04","進階題","1265公分"
"D073Q05","進階題","100歲"
"D073Q06","基礎題","浮游生物、藻類、聖誕島紅蟹、磷蝦與烏賊;浮游生物、巨大的藻類、年幼的聖誕島紅蟹、磷蝦與小型烏賊"
"D073Q07","進階題","西澳寧歌路珊瑚礁、宏都拉斯、菲律賓董索與八打雁（Batangas）、坦尚尼亞奔巴島、馬菲亞島與桑吉巴、印度大卡吉鹽沼地（Great Rann of Kutch）、墨西哥猶加敦州穆赫雷斯島、荷布斯島、馬達加斯加貝島、印度尼西亞烏戎庫隆國家公園、以色列埃拉特"
"D073Q08","基礎題","鯨鯊、巨口鯊與姥鯊"
"D073Q09","進階題","馬爾地夫、菲律賓、印度與臺灣"
"D073Q11","進階題","禁止所有有關鯨鯊的商業獵捕、販賣、輸入與輸出活動。"
"D073Q12","申論",""
"D076Q02","進階題","老四"
"D076Q03","進階題","四個;4個"
"D076Q04","基礎題","Donald John Trump"
"D076Q05","基礎題","瑪麗安娜·川普·巴里"
"D076Q06","進階題","五個;5個"
"D076Q07","進階題","三次;3次"
"D076Q08","進階題","兩次;2次"
"D076Q09","進階題","從政前，是商人和電視名人。為川普集團前任董事長兼總裁及川普娛樂公司的創辦人，在全世界經營房地產、賭場和酒店。"
"D076Q10","進階題","70歲"
"D076Q11","基礎題","梅蘭妮亞·川普"
"D077Q01","進階題","17歲"
"D077Q02","進階題","天主教"
"D077Q03","進階題","1275年"
"D077Q04","基礎題","元朝"
"D077Q05","基礎題","元世祖忽必烈;元世祖"
"D077Q06","基礎題","教宗格里高利十世;格里高利十世"
"D077Q07","進階題","忽必烈"
"D077Q08","基礎題","伊兒汗國"
"D077Q09","基礎題","闊闊真"
"D077Q10","基礎題","威尼斯共和國"
"D078Q01","基礎題","外曾祖父(外太公);外曾祖父;外太公"
"D078Q02","基礎題","外曾祖母(外太/外太婆);外曾祖母;外太;外太婆"
"D078Q03","基礎題","母親"
"D078Q04","基礎題","母親"
"D078Q05","基礎題","舅父(舅舅);舅父;舅舅"
"D078Q06","基礎題","姨母(姨媽/阿姨);姨母;姨媽;阿姨"
"D078Q07","基礎題","姨父(姨丈);姨父;姨丈"
"D078Q08","基礎題","舅母(妗母);舅母;妗母"
"D079Q01","基礎題","IBM的華生系統;華生系統;華生"
"D079Q05","進階題","「仿真陳述問答」（Factoid Question Answering）;仿真陳述問答;Factoid Question Answering"
"D079Q06","基礎題","「清單問答」（List Question Answering）;清單問答;List Question Answering"
"D079Q07","基礎題","時間限制型"
"D082Q02","基礎題","「語音理解」能力;語音理解;「語音理解」"
"D082Q04","基礎題","語意理解技術"
"D082Q05","基礎題","2019年10月7號"
"D082Q06","進階題","FUN CUP營隊;FUN CUP"
"D083Q01","基礎題","國道一路北上42.3公里林口路段;國道一號北上林口路段"
"D083Q02","進階題","2019年9月16日上午7點多;2019年9月16日上午7點"
"D083Q03","基礎題","吳姓駕駛"
"D083Q04","基礎題","大貨車"
"D083Q07","基礎題","彰化伸港;彰化;伸港"
"D083Q08","基礎題","五股"
"D083Q09","進階題","否"
"D083Q10","基礎題","布料;布"
"D085Q01","基礎題","40國;40個;40"
"D085Q03","基礎題","DEGA-16"
"D085Q04","基礎題","Poultry Vision"
"D085Q05","基礎題","比利時"
"D085Q06","基礎題","Poultry Vision"
"D085Q07","進階題","ChickFriend與Poultry Vision"
"D085Q08","進階題","4個"
"D086Q01","基礎題","熱，電，輻射與化學能"
"D086Q02","基礎題","不可再生能源與再生能源"
"D086Q04","進階題","否"
"D086Q05","進階題","否"
"D086Q06","進階題","否"
"D086Q07","進階題","否"
"D086Q03","申論",""
"D087Q01","基礎題","屏東縣"
"D087Q02","進階題","2019年10月5號;2019年10月5日"
"D087Q04","進階題","將軍之屋（勝利星村）、演武場、台糖縣民公園紙漿廠、萬年溪景觀橋及屏東火車站;勝利星村、演武場、台糖縣民公園紙漿廠、萬年溪景觀橋及屏東火車站;將軍之屋、演武場、台糖縣民公園紙漿廠、萬年溪景觀橋及屏東火車站"
"D087Q05","進階題","否"
"D087Q06","進階題","屏東火車站"
"D087Q07","進階題","14:30"
"D087Q08","進階題","19:30"
"D088Q02","基礎題","是"
"D088Q03","基礎題","否;不一定"
"D088Q05","進階題","稻糠、稻秣、稻草、麥梗、稻糠、木薯、木材、廢水和廚餘"
"D088Q06","進階題","玉米、黃豆、木薯、亞麻籽和油菜籽"
"D088Q07","進階題","甘蔗和椰子"
"D088Q08","基礎題","玉米酒精"
"D089Q01","進階題","社群媒體"
"D089Q02","進階題","傳統媒體"
"D089Q03","進階題","社群媒體"
"D089Q04","進階題","傳統媒體"
"D089Q05","進階題","社群媒體"
"D090Q01","基礎題","100奈米以下"
"D090Q02","基礎題","銅"
"D090Q03","基礎題","金"
"D090Q04","基礎題","矽"
"D090Q05","基礎題","理察·費曼"
"D090Q06","基礎題","谷口紀男"
"D090Q07","基礎題","1981年"
"D090Q08","基礎題","掃描隧道顯微鏡"
"D090Q09","基礎題","奈米結晶銀與奈米結晶鈦"
"D090Q10","基礎題","奈米結晶銀"
"D090Q11","基礎題","奈米結晶鈦"
"D091Q02","基礎題","妻子"
"D091Q03","基礎題","丈夫"
"D091Q04","基礎題","妻子"
"D091Q05","基礎題","叔父;叔叔"
"D091Q06","基礎題","叔父;叔叔"
"D091Q07","基礎題","叔母;嬸嬸"
"D091Q08","進階題","資訊不足無法判定"
"D091Q09","進階題","資訊不足無法判定"
"D091Q10","進階題","資訊不足無法判定"
"D091Q12","基礎題","岳祖母;奶奶"
"D092Q02","進階題","繁體字、傳承字、正體中文、繁體中文、傳統中文、正體字、原體字及深筆字"
"D092Q03","基礎題","1997年7月1日;1997年"
"D092Q04","基礎題","1997年"
"D092Q05","進階題","23年;22年"
"D092Q06","基礎題","1999年12月20日;1999年"
"D092Q07","基礎題","1999年"
"D092Q08","進階題","21年;20年"
"D092Q09","進階題","1964年"
"D092Q10","基礎題","繁體字"
"D092Q11","基礎題","繁體字"
"D092Q12","基礎題","簡體字;簡體中文"
"D093Q01","基礎題","中華人民共和國"
"D093Q02","基礎題","中國文字改革委員會"
"D093Q03","基礎題","2,274個"
"D093Q04","進階題","中華人民共和國、新加坡及馬來西亞"
"D093Q05","基礎題","1964年"
"D093Q07","基礎題","繁體;繁體字;傳承字;正體字;原體字;深筆字"
"D094Q02","基礎題","劉俠"
"D094Q03","基礎題","1982年"
"D094Q05","基礎題","35年"
"D094Q06","進階題","20%;百分之二十"
"D094Q01","申論",""
"D095Q01","基礎題","Pocket Monsters"
"D095Q02","進階題","口袋妖怪、口袋怪獸、神奇寶貝、精靈寶可夢及寶可夢"
"D095Q03","基礎題","1995年"
"D095Q04","基礎題","825種"
"D095Q06","基礎題","《精靈寶可夢 紅·綠》;精靈寶可夢 紅·綠"
"D095Q07","基礎題","田尻智"
"D096Q01","基礎題","Pikachu"
"D096Q02","基礎題","其名字由日文中光線的狀聲詞「Pika」（ピカ）、以及老鼠的叫聲「啾啾」（チュウ）組合而成。"
"D096Q04","基礎題","6.0 kg;6.0公斤;6公斤;6.0kg;6kg"
"D096Q06","基礎題","827個"
"D096Q07","基礎題","皮卡丘"
"D097Q01","基礎題","瑞典化學家阿佛烈·諾貝爾;阿佛烈·諾貝爾;諾貝爾"
"D097Q02","基礎題","五個"
"D097Q04","基礎題","1833年"
"D097Q05","基礎題","1896年"
"D097Q06","基礎題","63歲"
"D097Q07","基礎題","9月"
"D097Q08","基礎題","10月"
"D100Q01","基礎題"," 10月3號"
"D100Q03","基礎題","四天"
"D100Q04","基礎題","新北大都會公園"
"D100Q05","基礎題","新北市"
"D100Q06","基礎題","飛天螳螂、三蜜蜂、走路草及蚊香蝌蚪"
"D100Q07","進階題","機場捷運或臺北捷運中和新蘆線或公車;機場捷運、臺北捷運中和新蘆線或公車"
"D103Q01","基礎題","2009年"
"D103Q03","基礎題","2009年4月21日"
"D103Q04","基礎題","2009年5月20日"
"D103Q05","基礎題","844人"
"D103Q06","基礎題","35人"
"D103Q08","進階題","否"
"D103Q07","申論",""
"D104Q02","進階題","2009年6月7日"
"D104Q04","基礎題","一名39歲的男子"
"D104Q05","基礎題","2009年7月30日"
"D104Q06","基礎題","2009年5月1日"
"D105Q01","基礎題","1995年"
"D105Q02","進階題","民國84年;84年"
"D105Q04","進階題","24年"
"D105Q05","基礎題","軍人保險（軍保）、公教人員保險（公保）、勞工保險（勞保）、農民健康保險（農保）及保險業各自承保的健康保險;軍人保險、公教人員保險、勞工保險、農民健康保險及保險業各自承保的健康保險;軍保、公保、勞保、農保及保險業各自承保的健康保險"
"D105Q06","基礎題","軍保"
"D105Q07","基礎題","公保"
"D105Q08","基礎題","勞保"
"D105Q09","基礎題","農保"
"D105Q10","基礎題","1988年"
"D106Q01","基礎題","2003年"
"D106Q02","基礎題","局長"
"D106Q03","基礎題","衛生福利部中央健康保險署;健保署"
"D106Q05","基礎題","是"
"D106Q06","進階題","否"
"D106Q07","基礎題","2013年"
"D106Q08","基礎題","健保卡或自然人憑證;健保卡;自然人憑證"
"D107Q02","進階題","德國社會保險制、英國公醫制及美國自由市場"
"D107Q03","基礎題","社會保險制"
"D107Q04","基礎題","政府、僱主及民眾"
"D107Q05","基礎題","政府編列預算;政府"
"D107Q06","基礎題","民營的醫療保險公司"
"D107Q07","進階題","自由市場"
"D107Q08","進階題","公醫制"
"D108Q02","基礎題","20歲至40歲"
"D108Q03","進階題","20歲"
"D108Q04","進階題","40歲"
"D108Q05","基礎題","2年內"
"D108Q06","進階題","4000元"
"D108Q07","基礎題","一年"
"D113Q01","進階題","人類越來越長壽及開發中國家生活習慣的改變"
"D113Q02","基礎題","癌症"
"D113Q03","進階題","是"
"D113Q05","基礎題","20%;百分之二十;百分之廿"
"D113Q07","進階題","肺癌、前列腺癌（攝護腺癌）及大腸直腸癌;肺癌、前列腺癌及大腸直腸癌;肺癌、攝護腺癌及大腸直腸癌"
"D113Q08","進階題","乳癌、大腸直腸癌及肺癌"
"D115Q01","進階題","是"
"D115Q03","進階題","β-胡蘿蔔素"
"D115Q04","進階題","β-胡蘿蔔素和肺癌"
"D115Q05","基礎題","否"
"D115Q06","進階題","β-胡蘿蔔素、安慰劑、吸菸者與曾吸菸者"
"D115Q07","進階題","吲哚類與硫代配醣體"
"D115Q08","基礎題","花椰菜、油菜、芥藍菜、雪裡紅、高麗菜、芥菜、大白菜、小白菜、青江菜與白蘿蔔"
"D116Q01","基礎題","是"
"D116Q02","基礎題","是"
"D116Q03","基礎題","吃素"
"D116Q04","基礎題","紅肉、白肉或乳製品;紅肉、白肉與乳製品"
"D116Q05","基礎題","否"
"D116Q06","基礎題","是"
"D116Q07","基礎題","是"
"D116Q08","基礎題","否"
"D116Q09","進階題","資訊不足無法判定"
"D117Q01","進階題","四期;4期"
"D117Q02","基礎題","第一期"
"D117Q03","基礎題","第四期"
"D117Q04","基礎題","腫瘤產生的部位、腫瘤的大小以及數目、淋巴結是否被侵入以及週邊淋巴結被侵入的情形與遠端轉移的發生與否"
"D117Q05","進階題","否"
"D117Q06","基礎題","第四期"
