181582,b站手机解绑,"['申请解绑手机，请您使用账号绑定的邮箱发送申请邮件到help@bilibili.com，标题请注明 解绑手机，并提供下列账号信息：用户名；昵称；原手机号；注册时间和注册地点；常用登陆地点。', '手机注册的号可以更改手机号。登陆，进入账户安全中心，更改手机号，然后找一个不用但可以收验证短信的手机号绑定，完成。']"
181583,大唐荣耀哪里能看全集,"['CCTV。', '360影视', '影视大全。']"
181584,成都二手房交易流程,['一、买卖双方交易之前协商沟通后共同同意。二、卖方提供房屋的所有合法证件，买方就可以交纳一定的购房定金，然后买卖双方根据协商的意见，签订正规的合法买卖合同，合同内必须包括对房屋坐落位置、产权状况及成交价格、房屋交付时间、房屋交付、产权办理等具体事项，合同需要一式三份。三、然后向房地产交易管理部门提交申请，然后房地产管理部门会将申请和有关资料进行审查，对符合上市条件的房屋会给予批准过户的回复。四、房产部门根据交易房屋的产权和购买对象，按交易部门设定的审批权限进行逐级的审报，得到批准之后，交易的双方可以进行办理立契的手续。五、由买卖双方交纳各项税费。六、在房地产交易管理部门办理变更之后，买方就可以凭领取房屋所有权证的通知单，到发证部门领取新的产权证。七、如买方有贷款，等银行对房屋审核之后，再确定可以贷款的额度。等取领取了房屋所有权证之后，银行就会一次性发放贷款。八、买方拿到新房屋所有权证，付清所有的房款，卖方再将物业费结清之后，二手房交易就可以到此结束了。']
181585,鸟屎掉衣服上吉不吉利,[]
181586,上海哪个医院骨科比较好,['上海第六人民医院骨科、上海长征医院骨科、上海长海医院骨科、上海第十人民医院骨科 、上海瑞金医院骨科。']
181587,女人手心烧是什么原因,"['手心脚心发热是典型的肾阴虚症状。', '结缔组织疾病：风湿热、系统性红斑狼疮、类风湿性关节炎等可引起手心发热 ,但发生率不高 ,而且一般伴有明显全身发热症状。', '手心经常发烫，贴在其他部位的皮肤上，会有热热的感觉；有的人还有夏季手心热，冬季反而手心冷的特点；还有一些人手心、脚心都感觉热，甚至心里老是烦烦的，容易发脾气。在中医学中，这叫""五心烦热""，多见于阴虚、血虚和食积。前二者多发于女性，后者多为儿童。阴虚所致的手心热多见于肾阴不足，或肝肾阴虚。血虚导致的手心热，大多见于年轻女性，多伴有痛经。中医将手心发热是怎么回事分为疳积脾虚和血虚阴亏两种。1、疳积脾虚，手足心发热其原因一是饮食不节，即有的饮食无度，食不定时，常吃零食，长期下去可损伤脾胃功能，引起运化失常，形成积滞，积滞日久，水谷精微无能吸收，形成疳积而发热。二是患其它疾病后，如吐泻，痢疾、寄生虫病等治疗不当，迁延日久，损伤气血，导致营养不良而形成疳积发热。这部分常见为手足心发热，面黄肌瘦，毛发干枯，腹部胀大，食欲不佳，常食异物，夜睡不宁，大便较稀，有不消化食物，小便黄浊如米泔。2、血虚阴亏，手足发热其原因多由于平素体质虚弱，或大病、热病后，失于调理，阴血耗伤，正气尚未恢复而致。这部分常表现为手足心发热，形体消瘦，精神萎靡，咳嗽少痰，目眩耳鸣，口干舌燥，午后潮热，颧红盗汗，小便频数，大便秘结。手足心发热，以疳积脾虚引起的多见，绝大多数是3岁以下的婴幼儿。在药物治疗的同时，还要注意补充一定数量的富有营养的食品，多晒太阳，呼吸新鲜空气，以促进体质的恢复。']"
181588,比熊跟泰迪能配吗,['只要体型差距别大的太过分。和任何品种都可以配种。']
181589,壁虎是益虫吗,"['壁虎是益虫,它吃蚊子的', '壁虎不是虫，是爬行动物他们吃蚊子苍蝇什么的，是有益的']"
181590,开服装店流程,"['1、首先开店之前先要有店铺。2、办理营业执照。3、办理guo税。4、办理完guo税，再去地税办理登记证。5、进货。等货物完全铺好，可以放鞭炮正式开业了。', '市场分析-商家调查-选择地址-装修装潢-筹备与开张。']"
181591,范冰冰多高真实身高,"['真实情况是160-162。', '范冰冰163。']"
181592,游标卡尺读数,"['无论测量方法如何，数据都便现在标尺上。所以我们以下图测量内径的图示为例：首先，看副尺“0”的位置，它决定了头两个数位。图中0在2.3cm的后面。即为测量物体的内径为2.3xxcm.然后观察副尺分度（精确度），就是有多少个格图中为20分度，即精确度为0.05mm。（每分度的单位=1毫米/分度）然后看副尺和主尺完全重合的数位，看红框内，重合部分与二差3格。即重合处为17。每单位为0.05mm，得出最后的数位，0.85mm（0.085cm）最后测量出，目标的内径为2.385cm。', '读数时首先以游标零刻度线为准，读取尺身上的毫米整数。如图所示，游标零刻度位于主尺的14mm与15mm之间，所以读取其整数毫米为14mm。再读取游标所指示的数值。观察游标上第几条刻度线与尺身的刻度线对齐，如图所示，取最接近对齐的线，下图取游标8数值处刻度线与主尺刻度线对齐。则读数结果为：40格*0.02mm（精度）=0.8mm。将两次读数相加即为此次测量的数值。即最终读数为14mm+0.8mm=14.8mm。']"
181593,四月是你的谎言结局,['公生在失去母亲之后又失去了自己的心灵支柱，最后公生对着小椿的告白露出了悲伤的微笑。']
181594,儿童手工风铃制作方法,"['一个护发素的内盖（没有的话可以用光盘），在上面钻上洞，在洞里穿过铁丝，穿一颗针，在上面穿一颗星星，把绳子系在盘子中间的铁丝上，在星星下面栓一个钥匙圈，钥匙圈下面再栓一颗星星，在星星下面栓一个小瓶子（我没有足够的瓶子所以用玻璃代替）要栓紧哦！把彩带撕成小条，拴在下面，在钥匙圈上再栓同样的一条，中间的一圈，先穿一个千纸鹤，千纸鹤下面是小瓶子，穿一个星星，在星星下面栓彩带，中间的三条都弄好，撕四条长长的彩带……然后可以绑在顶上~就完成啦。', '首先把瓶盖顶部用裁纸刀去掉，四周用锥子扎空，在用彩色尼龙绳装饰勺子。在勺子把用尼龙线捆绑。然后再拿出事先准备好的一些装饰风铃的材料。在瓶盖上绑一个十字。把我们准备好的各种风铃挂坠捆绑好。', '你要想办法找到9个小药瓶，然后在里面装上各种颜色的水，之后还要在每个瓶的盖子上穿根线；用硬纸片剪个圆盘，中间穿上线，然后把药瓶的线固定在圆盘的周围；用胶泥和电光纸做出各种好看的图案粘在瓶上就可以了。']"
181595,儿童口腔溃疡的治疗方法,"['治疗儿童口腔溃疡小偏方： 1、维生素C药片1-2片压碎，撒于溃疡面上，让孩子闭口片刻，每日2次。这个方法虽然很有效，但是会引起一定的疼痛，小宝宝可能会不太配合。 2、用全脂奶粉，每次1汤韪并加少许白糖，用开水冲服，每天2-3次，临睡前冲服效果最佳。通常服用2天后溃疡即可消失。 3、西红柿列切挤汁，然后把西红柿汁含在口中，每次含数分钟，一日多次。 4、柿饼上刮取柿霜，用开水冲服或加入粥中服用。 5、西瓜瓤挤取瓜汁后含于口中，约2-3分钟后咽下，再含服西瓜汁，反复数次，每天2-3次。 6、蛋打入碗内拌成糊状，绿豆适量放陶罐内用冷水浸泡10多分钟，放火上煮沸约2分钟（不宜久煮），这时绿豆未熟，取绿豆水冲鸡蛋花饮用，每日早晚各1次。 7、采鲜芭蕉叶适量，将其用火烤热贴敷于口腔溃疡处，每日2-3次。', '偏方一：喝蜜汁法。经常给患儿喝10%的蜜蜂汁或者是漱口，因为很多口腔溃疡都是由于上火引起的，而蜜汁水就不仅具有消炎，同时还具有止痛的作用，对促进伤口的愈合也有一定的帮助。偏方二：木耳疗法。使用黑白木耳两种混合，山楂各10克，然后加上三碗水煎至一碗，然后吃木耳，喝汤。坚持每天多喝几次就可以一定的缓解口腔溃疡症状。偏方三：可可疗法。用可可粉和蜂蜜一起调成糊状，然后经常含咽就可。而且可可粉和蜂蜜的味道都是孩子最为喜欢的，相信这样的治疗方法对防治宝宝口腔溃疡效果是最好的。偏方四：白菜根疗法。用白菜的根部，同芥菜籽，葱白一起弄破碎然后用纱布将这些菜贴于足心就可。偏方五：全脂奶粉法。用全脂奶粉加适量的白糖，晚间休息的时候冲服就可了，正常情况下两天就可痊愈了。偏方六：维生素C。将维生素C弄碎了之后，然后敷在伤口处就可了，当然了如果宝宝不小心吃了的话也是不要紧的。偏方七：苹果法。将苹果去皮之后加冷水一起煮沸，然后取苹果同少量酒一起含在口中片刻就可。不过这个方法不是一般宝宝都可以接受的。偏方八：云南白药法。直接将云南白药敷在宝宝溃疡的表面就可以了，在敷的时候注意不要让宝宝吃下了。']"
181596,宽带测速很快 但实际很慢,"['1.病毒木马原因导致的 ，会导致导致网速慢。2.由于使用了 p2p 下载软件导致占用带宽资源很大，导致网速变慢了。3.多台电脑共享上网，可能共享网络中的电脑有中 arp 病毒 ，解决办法就是找到攻击源，使用金山卫士对该电脑杀毒。4.还有一种是就是所处的宽带环境，有可能宽带线路老化，路由器坏了原因导致网速变慢 。5.电脑和网站处在不同网络环境 ，例如网通用户与电信网站之间的访问，也会出现网速变慢。6.还有一种就是网站自身的问题，网站所在的服务器质量很差，宽带有限导致的网速变慢。网速慢的解决办法首先排除是不是外部因素造成的网速变慢了，例如网站自身的问题，宽带环境设备老化或者破损。如果排除外部因素，那就解决内部因素造成的。', '1.宽带连接、网速不稳定，如果在局域网环境下，多数人在使用宽带资源也会出现打开网页速度慢情况。2.浏览器本身问题，如果多开窗口浏览会占大量内存，而且磁盘空间没有做过优化，就这样电脑资源不够用，也会出现打开网页速度慢的问题。3.浏览器自身插件或加载项导致，影响了浏览器的正常使用。4.局域网内可能有 ARP 攻击，让网络出现断网或者延迟情况。5.电脑遭到木马病毒入侵导致注册表和系统程序遭到破坏，打开网页速度慢问题也随之而来。6.打开网页速度慢解决方案金山毒霸的系统清理中痕迹清理功能，可以解决打开网页速度慢/网页打开慢的问题。一键清理将习惯清理的范围设置成默认，一键搞定清理垃圾清理电脑垃圾文件，节省磁盘空间清理痕迹清除使用记录，保护个人隐私清理注册表定期清理注册表，可以加快系统运行速度。', '1、同时使用的人多，拉慢了网速；2、对方在下载一些资源很多的东西，占用了大部分网速；3、路由器出现了问题，导致 WIFI 信号没以前那么好了；4、对方使用类似路由器管理器的软件进行限速了，360路由器就有这个限速的功能。']"
181597,小米6防水等级,"['小米6是支持IP68级的防水。', 'IP56吧。']"
181598,10100000贷款可靠么,"['可靠！这是平安银行的贷款热线电话。电话预约，网点签合同。', '扯淡，千万别上当']"
181599,男人认定你的表现,"['会主动讨取你的欢心，会答应你，他可以做到的要求，回去花大量的时间和精力和你在一起，会对你说他的心里话。', '在你没答应他之前，我想他可能是不会那么快认定你的，你们只要真心坦诚相处，就能感觉对方是不是真心的，还有如果你也感觉不错，就不要考验太长时间，过分考验也可能会错过缘分。', '有的男人会直接表白，这种人属于比较大胆。有的男人爱一个人是不会说的，因为他不知道你是不是也喜欢他，等确定之后就会大胆地去爱。']"
181600,uuid.randomuuid 会重复吗,['不会重复，我们公司有时候数据库的主键就是这么用的']
181601,南京装修公司哪家靠谱njgzjz,"['南京冠全装饰工程有限公司。', '南京装饰协会。']"
181602,大便检查能查出什么,"['1、粪便颜色：柏油色，见于上消化道出血等。红色，见于痢疾、结肠癌、痔出血等。陶土色，见了各种原因所致阻塞性黄疽等。绿色，见于婴儿消化不良等。黄绿色，见于伪膜性肠炎等。 2、粪便形态：粥样或水样稀便，见于急性胃肠炎、食物中毒、伪膜性肠炎等。粘液性或脓血性便，见于痢疾、溃疡性结肠炎、大肠炎、小肠炎、结肠癌、直肠癌等。凝乳块便，见于婴儿乳汁消化不良等。细条状便，见于结肠癌等所致直肠狭窄。米汤样便，见于霍乱、副霍乱等。 3、粪便细胞：红细胞出现和增多，见于痢疾、肠炎、结肠癌、痔疮出血等白细胞增多，见于肠炎、细菌性痢疾。 4、粪便潜血：阳性，见于胃肠道恶性肿瘤、伤寒、溃疡病、肝硬化等所引起的消化道出血。5、粪胆素：阳性，见于溶血性黄疽和肝性黄疽等。 6、粪便胆红素：阳性，见于溶血性黄疽、阻塞性黄疽等。 7、粪便细菌培养加药敏：阳性，见于细菌性痢疾、伤寒、肠结核、急慢性肠炎等。', '1.发现大便颜色出现异常，呈黑色、陶土色、绿色、酱红色等，大便性状改变，稀水、黏液便、脓血便等。2.了解消化道及通向消化道的胆管有无病变引起的出血，以便进一步细查。如肝硬化食管静脉曲张、溃疡病、胆管出血，出血量较大时，肉眼可见明显血便或黑便；而结肠肿瘤，溃疡性结肠炎，血便更是主要症状。3.协助诊断某些肝胆疾病，如阻塞性黄疸时大便呈陶土色、胆石症时粪中可检出小结石。', '大便常规主要检测是否潜血或者有白细胞，以判断内出血和炎症，大肠癌能够在大便中找到癌细胞。']"
181603,塘沽区什么地方有男科医院,['天津市第五中心医院、天津泰达医院。']
181604,系统实现怎么写,['学生公寓管理系统设计与实现该学生公寓管理系统主要实现了后勤部门对学校宿舍的管理功能。系统分为管理员模块和学生模块两个部分。管理员模块实现的功能有：1)    学生信息管理功能：主要是添加系，专业，班级和学生的具体信息，来创建以班级，专业，系等为单位的学生信息。包括添加，删除和修改功能，还有学生的总体查看和个别查询功能。2)    宿舍楼信息管理功能：分为宿舍楼信息的添加删除和修改功能：添加修改功能具体实现为每栋楼的楼名，层，房间，床位的添加和修改；删除功能执行一次删除整栋楼。']
181605,为什么借贷宝倒闭不了,['一、国内外 P2P 平台林立，但国内缺乏真正意义上的 P2P 平台。二、监管的加强肃清了行业的风气，带来了新的发展契机。三、大数据之声的喧嚣，推动着新的征信平台的诞生。四、中国民间借贷规模庞大但缺乏法律保障、回款困难。五、中国5600万小微企业存在的融资难、融资贵等问题。']
181606,美邦钙宝跟迪巧哪个好,"['一般给予迪巧钙的比较多。', '上述补钙产品都可用于婴幼儿补钙，每个孩子吸收药物的个体差异不同，可以服用其中一个。']"
181607,尘虱是怎么样产生的,"['一般从宠物身上。', '一：房子里原先就存在，装修前没进行房屋全面消毒，二：被人从外部携带进来，尘虱很容易依附在衣服或者其他之类的媒介上传播。']"
181608,怀孕多久会有反应,['女性出现妊娠反应一般是从在6-12周左右。']
181609,白色汽车划痕怎么处理,['白色汽车身上有了新的划痕，先要用鹿皮布仔细将划痕及其周围车漆擦拭干净，然后将日常用的牙膏涂抹在划痕“伤口”处！一定要涂抹均匀，并且在下雨或者是洗车之后也要涂抹一遍。但是需要注意的是，涂抹了牙膏的划痕伤患处，只是能起到临时保护的作用，并且能防止划痕处生锈，只是暂时的权宜之计，不想自己动手的话，可以等到爱车下次进行保养的时候，让4S店进行彻底得修补。想自己动手操作的话，我们可以先用颗粒极细的水砂纸先进行打磨，沿着直线进行打磨，打磨掉锈斑以及牙膏之后，然后均匀得涂上薄薄的一层底漆。等到底漆干了之后，还要进行砂纸打平。然后就是要沿着划痕的两侧仔细贴两层美纹纸，让美纹纸正好露出划痕。美纹纸最好多贴几层。贴的时候要更加仔细才行，一定要把划痕完全框住，保证后期的补漆效果。']
181610,二维码的原理,['二维条码/二维码(2-dimensional bar code)是用某种特定的几何图形按一定规律在平面(二维方向上)分布的黑白相间的图形记录数据符号信息的；在代码编制上巧妙地利用构成计算机内部逻辑基础的“0”、“1”比特流的概念，使用若干个与二进制相对应的几何形体来表示文字数值信息，通过图象输入设备或光电扫描设备自动识读以实现信息自动处理：它具有条码技术的一些共性：每种码制有其特定的字符集；每个字符占有一定的宽度；具有一定的校验功能等。同时还具有对不同行的信息自动识别功能、及处理图形旋转变化点。']
181611,如何发海参,"['1、家庭食用少量海参可先用冷水把干海参浸泡一天，用刀剖开肚子，取出内脏洗净；2、然后放入暖水瓶中，倒入开水，盖紧瓶盖，发10小时左右；3、取适量海参用清水泡12小时（夏天放在冰箱保鲜层），然后破肚去筋去沙嘴洗净，放在无沾油锅煮开后再用文火煮20-30分钟，熄火后将其自然凉透倒掉水，加入适量纯净水放于冰箱保鲜48小时（满24小时后再换一次纯净水）后即可食用。', '1、将干海参用自来水直接冲洗1分钟，洗掉表面少许微尘；2、置于1-10度凉纯净水中24小时左右，中间换水2次直至将海参泡软；3、将泡软的海参从腹部纵向剖开，去掉海参前端牙状物和体内白筋；4、添纯净水上无油锅加盖煮沸，用中火煮15-25分钟；5、换新的凉纯净水，泡24小时左右，中间换水2次直至发泡到2倍左右长度；6、泡好后，即可食用。可把多余的单独零度以下冷冻，建议2周内用完；7、如有个别海参没有发大，属于正常现象，可重复4、5步骤。']"
181612,人民币转港币汇率,"['1CNY=1.1543HKD。', '1人民币CNY=1.1536港元HKD。', '100HKD=88.48CNY。']"
181613,谷歌账号注册手机无法验证,"['进入http://google.com.hk首页后把下面的中文简体换成繁体，大陆手机号就能验证成功了。', '进入app后，随便填写一个以@gmail结尾的邮箱账号，下一步就到了google账号登录界面，在这里点击选择账号输入框下的“创建账户”链接。在创建账户页面，填写相应信息。（在这里，要注意手机号码要选择中国+86的。）然后点击继续，不用输入什么验证码，就可以成功创建google账号了。', '关键在于你注册的第一步，选国家的时候一定要根据你的VPN的国家来选，不是选中国的。到了第二步，用中国的手机号就能注册了。']"
181614,机械迷城结局,"['男主带着女主逃跑。', '全灭。', '男主角把女主角救出来，两人乘坐飞行器飞走了，在空中撞到东西，飞行器坏了，男女主角又分离了。']"
181615,2003如何关闭445端口,"['1、快捷键WIN+R启动运行窗口，输入cmd并执行，打开命令行操作窗口，输入命令“netstat -an”，检测445端口是否开启。2、依次输入以下命令进行关闭：net stop rdr/net stop srv/net stop netbt。', '一、单击始—运行输入regedit单击确定按钮打注册表；二、找注册表项HKEY_LOCAL_MACHINE\\System\\Controlset\\Services\\NetBT\\Parameters；三、选择Parameters项右键单击选择新建—DWORD值orQWORD值（32位系统选择DWORD值64位系统选择QWORD值）；四、DWORD值命名SMBDeviceEnabled；五、右键单击SMBDeviceEnabled值选择修改；六、现编辑DWORD值框数值数据输入0单击确定按钮完设置。']"
181616,git gitlab github的区别,"['git是一种版本控制系统，是一个命令，是一种工具；gitlab是一个基于git实现的在线代码仓库软件，可以用gitlab自己搭建一个类似于github一样的系统，一般用于在企业、学校等内部网络搭建git私服；github是一个基于git实现的在线代码仓库，包含一个网站界面，向互联网开放。', 'Git是一个开源的分布式版本控制系统，用以有效、高速的处理从很小到非常大的项目版本管理。Git 是 Linus Torvalds 为了帮助管理 Linux 内核开发而开发的一个开放源码的版本控制软件。Github 是 一个网站，提供给用户空间创建git仓储，保存用户的一些数据文档或者代码等。GitLab 是一个用于仓库管理系统的开源项目，使用Git作为代码管理工具，并在此基础上搭建起来的web服务。', 'Git是版本控制系统，Github是在线的基于Git的代码托管服务。Github就是自己的repo(repository的缩写，表示“仓库”)都需要public(公开), 如果想要创建private(私人)的repo, 那得付钱。']"
181617,ios8.0怎么更新,"['首先点击“设置”，进入“设置”之后，点击“通用”。进入“通用”之后然后点击“软件更新”并进入，如果空间不够用需要将多余的文件删掉，并且选择“下载安装”即可。', '升级方法有两种，方法一：确保iPad电量在50%以上，设置-通用-检查更新OTA升级；方法二：打开电脑iTunes-连接iPad-更新iOS系统即可。']"
181618,淘宝发货单号填错了怎么修改,"['第一步：打开阿里旺旺，登入账号密码后，在阿里旺旺电脑客户端中找到带淘字的图标，第二步：点击【卖出宝贝】，会弹到网页中，第三步：在已经发货的宝贝中，点击【查看物流】，在物流信息中，在网页左边物流信息中点击【修改】，第四步：在框中输入正确的快递单号，这次需要认真的填写快递单号，填写正确后，点击【确定】，修改成功后悔提示【修改成功！】。', '陆淘宝卖家账户，进入卖家中心一已卖出的宝贝。找到填错单号的订单，点击查看物流。发货单号填好后的24小时内是可以更改的，点击修改。可以修改成任意快递与快递单号，点击确认。超过24小时才发现单号填错了是无法修改的，这时候要第一时间联系顾客，把正确的单号与发给顾客并且报以歉意，一般顾客都会理解的，不第一时间处理好的话，容易被顾客中差评，得不偿失。到某些因为你填错单号从而为难你要退款的顾客也不怕，因为此时货已经在路上，他此刻要退款你就会钱货双失，不要被顾客唬一下就退款了，这个时候一定要耐心安抚好顾客，并且把单号底单拍给顾客看，让顾客放心。即使顾客投诉你要求客服介入退款，因为你有底单，也不用怕因为单号填错而造成什么损失。']"
181619,微信红包打不开怎么回事,"['有可能是你手机在使用过程中由于缓存过大，造成内存运行不足，导致无法打开图片等情况；可能是群里抢的人很多，导致系统有些缓慢；可能是网络不好，不能及时更新等等。', '微信红包打不开原因：1、手机网络不稳定。2、微信缓存过多。3、微信版本过低。']"
181620,刘亦菲给谁当过伴娘,"['周扬。', '张靓颖。']"
181621,live怎么拍,['1、在 iPhone6s 及更新设备上打开相机以后，在顶部中间可以看到有一个圆形的图标，它就是 Live Photos 的开关。当前显示为灰色状态，表示 Live Photo 为关闭状态。2、如若要打开 Live Photos 功能，点击打开即可。3、当打开 Live Photos 功能以后，在拍照时屏幕上也会显示 LIVE 字样，表示当前正在使用 Live Photos 动态拍摄功能。4、当拍好了一张 Live Photos 照片以后，想要查看它的效果时，请在相片里用手指轻轻长按它，便可以看到动态效果了。']
181622,支付宝怎么找人工客服,"['1、打开手机上的支付宝，输入账号、密码进行登录。2、登录成功后，在首页宫格内找到【我的客服】如果没找到的话点击下面的【更多】进行查找。其他路径—我的—头像—我的客服。3、找到【我的客服】后，点击客服头像右下方的文字对话框。4、在文字对话框内输入“人工”并发送。5、再次发送“人工”后，点击“联系在线客服”。6、输入问题7耐心等待客服解决问题，尽量不要难为客服人员，如果不能解决，客服也会给出其他方案，最终的目的，也是为了解决客户的难题。', '1、首先，进入支付宝服务大厅，在最下端，就可以看到在线客服，点击立即使用；2、在这里跳转一个自助聊天咨询窗口，输入一个问题发送，如帐号被盗。3、选择问题的类型，点击支付宝帐号被盗。4、接着出现提示，是否需要连接人工服务，选择进行转接。5、开始建立人工服务，有时候需要等待排队，接通后，自己进行咨询即可。']"
181623,为什么大众车质量那么差 销量那么好,"['大众牛逼关键在于是个德国车企，中国人普遍崇拜德国。', '大众来的最早，大众集团本身就是全球列强之一，有强大的伙伴，品牌力也有产品的知名度优势，渠道优势，规模成本效应。', '因为大众是最早进入中国市场的合资品牌，国人买车不管现在这车怎么样，只管以前这车名气大不大好不好，大众十几年前捷达桑塔纳老牛X了，所以现在大众再破也是好车。']"
